Package,Developer,Upgrade to be done (Y/N/To be removed),Is some confirmation required (Y/N),Confirmation done  (Y/N),2.0 EXT pkg present in either SPECS or EXT of 3.0-dev (Y/N),2.0 EXT pkg present in EXT of 3.0-dev(Y/N),"Confirm if removal is deliberate (Y/N) (If N in both Column F and Column G, here we put Y.  A Y here means we must check with Microsoft if this is a deliberate removal of the package)","Moved from EXT in 2.0 to Core in 3.0-dev (Y/N) (If Y in Column F and N in Column G, then this is Y)",Remarks,"Priority (P0, P1, P2)"
hunspell-se,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-shs,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-si,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-sk,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-sl,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-smj,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-so,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-sq,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-sr,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-sv,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-sw,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-ta,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-te,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-tet,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-th,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-tk,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-tl,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-tn,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-tpi,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-ts,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-uk,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-uz,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-ve,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-vi,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-wa,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-xh,Neeraj,,N,N,Y,Y,N,N,,P1
hunspell-yi,Neeraj,,N,N,Y,Y,N,N,,P1
hyphen,Sreenivasulu,,N,N,Y,Y,N,N,,P1
hyphen-as,Sreenivasulu,,N,N,Y,Y,N,N,,P1
hyphen-bg,Sreenivasulu,,N,N,Y,Y,N,N,,P1
hyphen-bn,Sreenivasulu,,N,N,Y,Y,N,N,,P1
hyphen-ca,Sreenivasulu,,N,N,Y,Y,N,N,,P1
hyphen-da,Sreenivasulu,,N,N,Y,Y,N,N,,P1
hyphen-de,Sreenivasulu,,N,N,Y,Y,N,N,,P1
hyphen-el,Sreenivasulu,,N,N,Y,Y,N,N,,P1
hyphen-es,Sreenivasulu,,N,N,Y,Y,N,N,,P1
hyphen-fa,Sreenivasulu,,N,N,Y,Y,N,N,,P1
hyphen-fo,Sreenivasulu,,N,N,Y,Y,N,N,,P1
hyphen-fr,Sreenivasulu,,N,N,Y,Y,N,N,,P1
hyphen-ga,Sreenivasulu,,N,N,Y,Y,N,N,,P1
hyphen-gl,Sreenivasulu,,N,N,Y,Y,N,N,,P1
hyphen-grc,Sreenivasulu,,N,N,Y,Y,N,N,,P1
hyphen-gu,Sreenivasulu,,N,N,Y,Y,N,N,,P1
hyphen-hi,Sreenivasulu,,N,N,Y,Y,N,N,,P1
hyphen-hsb,Sreenivasulu,,N,N,Y,Y,N,N,,P1
hyphen-hu,Sreenivasulu,,N,N,Y,Y,N,N,,P1
hyphen-ia,Sreenivasulu,,N,N,Y,Y,N,N,,P1
hyphen-id,Sreenivasulu,,N,N,Y,Y,N,N,,P1
hyphen-is,Sreenivasulu,,N,N,Y,Y,N,N,,P1
hyphen-it,Sreenivasulu,,N,N,Y,Y,N,N,,P1
hyphen-kn,Sreenivasulu,,N,N,Y,Y,N,N,,P1
hyphen-ku,Sreenivasulu,,N,N,Y,Y,N,N,,P1
hyphen-lt,Sreenivasulu,,N,N,Y,Y,N,N,,P1
hyphen-mi,Sreenivasulu,,N,N,Y,Y,N,N,,P1
hyphen-ml,Sreenivasulu,,N,N,Y,Y,N,N,,P1
hyphen-mn,Sreenivasulu,,N,N,Y,Y,N,N,,P1
hyphen-mr,Sreenivasulu,,N,N,Y,Y,N,N,,P1
hyphen-nl,Sreenivasulu,,N,N,Y,Y,N,N,,P1
hyphen-or,Sreenivasulu,,N,N,Y,Y,N,N,,P1
