Package,Developer,Upgrade to be done (Y/N/To be removed),Is some confirmation required (Y/N),Confirmation done  (Y/N),2.0 EXT pkg present in either SPECS or EXT of 3.0-dev (Y/N),2.0 EXT pkg present in EXT of 3.0-dev(Y/N),"Confirm if removal is deliberate (Y/N) (If N in both Column F and Column G, here we put Y.  A Y here means we must check with Microsoft if this is a deliberate removal of the package)","Moved from EXT in 2.0 to Core in 3.0-dev (Y/N) (If Y in Column F and N in Column G, then this is Y)",Remarks,"Priority (P0, P1, P2)",New Name of Package
hunspell-ro,Akarsh,,N,N,Y,Y,N,N,,P0,NA
hunspell-ru,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-rw,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-se,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-shs,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-si,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-sk,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-sl,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-smj,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-so,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-sq,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-sr,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-sv,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-sw,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-ta,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-te,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-tet,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-th,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-tk,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-tl,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-tn,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-tpi,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-ts,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-uk,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-uz,Neeraj,,N,N,Y,Y,N,N,,P1,NA
hunspell-ve,Neeraj,,N,N,Y,Y,N,N,,P1,NA
